Customer ID,Gender,Age,Contract,Internet Type,Payment Method,Churn,Customer Status,Churn Reason,Churn Score,Satisfaction Score,Total Revenue,Streaming Platforms,Latitude,Longitude,City,Country,,,
5312-UXESG,Female,43,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,58%,4,5187.39,All,33.752938,-116.230055,Indio,United States,,,
9581-GVBXT,Male,59,One Year,DSL,Credit Card,No,Stayed,Other,23%,4,1980.3,No Streaming,34.818227,-120.418784,Santa Maria,United States,,,
6211-WWLTF,Male,46,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,39%,3,8019.43,All,37.648647,-119.231447,Oakhurst,United States,,,
0297-RBCSG,Male,61,One Year,DSL,Bank Withdrawal,No,Stayed,Other,39%,4,2085.86,Movies + Music,37.791222,-122.402241,San Francisco,United States,,,
8713-IGZSO,Male,50,Month-to-Month,Other,Credit Card,No,Joined,Other,57%,3,142.5,No Streaming,36.722898,-121.633648,Salinas,United States,,,
9169-BSVIN,Male,21,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,40%,5,1049.29,All,33.657433,-117.04254,Winchester,United States,,,
7905-TVXTA,Female,63,Month-to-Month,DSL,Bank Withdrawal,No,Stayed,Other,35%,4,394.25,Streaming TV,36.77462,-121.664714,Salinas,United States,,,
3675-YDUPJ,Male,29,Month-to-Month,Other,Credit Card,No,Stayed,Other,58%,4,212.85,No Streaming,34.245289,-117.642503,Rancho Cucamonga,United States,,,
6338-AVWCY,Male,19,Month-to-Month,DSL,Mailed Check,Yes,Churned,Competitor,75%,3,130.75,Streaming TV,33.141265,-116.967221,Escondido,United States,,,
9103-CXVOK,Male,31,Month-to-Month,Other,Bank Withdrawal,No,Joined,Other,27%,4,50.13,No Streaming,35.120833,-120.61843,Grover Beach,United States,,,
1833-TCXKK,Male,50,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,27%,5,6224.25,All,34.084909,-117.258107,San Bernardino,United States,,,
4077-CROMM,Female,51,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Dissatisfaction,68%,1,3342.07,All,37.671806,-121.007575,Modesto,United States,,,
6616-AALSR,Female,23,Two Year,Fiber Optic,Credit Card,No,Stayed,Other,76%,3,7651.35,All,38.69508,-121.271616,Citrus Heights,United States,,,
9895-VFOXH,Female,19,Month-to-Month,DSL,Credit Card,No,Joined,Other,61%,5,34.4,Streaming Music,40.440636,-124.098739,Scotia,United States,,,
1431-AIDJQ,Male,44,Two Year,Cable,Credit Card,No,Stayed,Other,32%,4,2656.56,All,37.916648,-122.008483,Walnut Creek,United States,,,
6284-KMNUF,Female,33,One Year,Fiber Optic,Bank Withdrawal,No,Stayed,Other,25%,3,7370.6,All,34.457829,-116.139589,Twentynine Palms,United States,,,
2251-PYLPB,Male,34,Two Year,Cable,Credit Card,No,Stayed,Other,55%,3,9054.5,Movies + Music,34.242058,-116.89802,Big Bear Lake,United States,,,
7892-POOKP,Female,23,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Other,84%,3,3182.97,All,34.062125,-118.315709,Los Angeles,United States,,,
6231-WFGFH,Male,39,Month-to-Month,Other,Mailed Check,No,Stayed,Other,34%,4,92.12,No Streaming,38.113533,-122.11926,Benicia,United States,,,
6849-OYAMU,Male,56,One Year,Fiber Optic,Bank Withdrawal,Yes,Churned,Competitor,71%,2,2723.7,All,33.713891,-116.237257,Indio,United States,,,
3021-VLNRJ,Female,25,One Year,DSL,Credit Card,No,Stayed,Other,34%,4,5354.15,Streaming TV,34.152875,-118.486056,Encino,United States,,,
6408-WHTEF,Male,45,Two Year,DSL,Credit Card,No,Stayed,Other,52%,3,6574.55,All,34.39583,-117.734568,Valyermo,United States,,,
0329-GTIAJ,Female,40,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Price,86%,3,405.84,All,33.766476,-117.969795,Garden Grove,United States,,,
9565-DJPIB,Female,64,Month-to-Month,Fiber Optic,Credit Card,Yes,Churned,Competitor,87%,1,512.69,Streaming TV,38.104705,-122.247387,Vallejo,United States,,,
8816-VXNZD,Female,36,Month-to-Month,Fiber Optic,Bank Withdrawal,Yes,Churned,Dissatisfaction,83%,2,81.04,No Streaming,32.68674,-117.186612,Coronado,United States,,,
9385-EHGDO,Female,37,Two Year,Other,Credit Card,No,Stayed,Other,46%,3,1053.46,No Streaming,32.909873,-116.906774,Lakeside,United States,,,
1166-PQLGG,Female,58,Two Year,Other,Bank Withdrawal,No,Stayed,Other,68%,3,2711.21,No Streaming,37.527497,-122.230941,Redwood City,United States,,,
1469-LBJQJ,Female,39,Month-to-Month,Fiber Optic,Bank Withdrawal,No,Stayed,Other,20%,4,9724.03,All,34.486835,-117.362274,Victorville,United States,,,
